Number,Name,Fund Rate,Count,Rate,Close Price,Amount
2357,華碩,15.35,3,11.77,249,0.4
3045,台灣大,11.95,2,9.16,99,0.7
2881,富邦金,11.95,3,9.16,56.5,1.3
2347,聯強,11.86,2,9.09,56,1.3
2301,光寶科,11.37,3,8.72,68.7,1.0
2883,開發金,10.67,3,8.18,13.05,5.0
2882,國泰金,10.59,3,8.12,43.15,1.5
2885,元大金,10.15,3,7.78,20.6,3.0
2382,廣達,9.73,3,7.46,79.8,0.7
2324,仁寶,9.07,2,6.95,23,2.4
3702,大聯大,8.98,3,6.88,52.3,1.1
1301,台塑,8.79,1,6.74,88.3,0.6
