Number,Name,Fund Rate,Count,Rate,Close Price,Amount
2357,華碩,15.65,3,12.87,256.5,0.4
2347,聯強,12.03,2,9.89,57.8,1.4
2881,富邦金,11.88,3,9.77,57.7,1.4
3045,台灣大,11.74,2,9.65,98.3,0.8
2301,光寶科,11.29,3,9.28,69.2,1.1
2883,開發金,10.79,3,8.87,13.4,5.3
2882,國泰金,10.51,3,8.64,43.65,1.6
2885,元大金,10.07,3,8.28,20.6,3.2
2382,廣達,9.70,3,7.98,80.7,0.8
2324,仁寶,9.05,2,7.44,23.15,2.6
1301,台塑,8.90,1,7.32,90.3,0.6
