Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
3231,緯創,15.94,3,10.47,66.7,1.6,2
2357,華碩,14.36,3,9.43,305,0.3,1
2347,聯強,11.07,2,7.27,63.9,1.1,2
3702,大聯大,11.03,3,7.24,53.2,1.4,2
2881,富邦金,10.86,3,7.13,60.8,1.2,2
2382,廣達,10.82,3,7.11,116.5,0.6,1
2882,國泰金,10.60,2,6.96,44.3,1.6,2
2324,仁寶,10.30,2,6.76,27.85,2.4,2
2301,光寶科,10.20,3,6.70,89,0.8,0
3045,台灣大,9.82,2,6.45,103.5,0.6,0
2885,元大金,9.74,3,6.40,23.85,2.7,2
2356,英業達,9.47,2,6.22,36.85,1.7,1
6176,瑞儀,9.40,2,6.17,118,0.5,0
1301,台塑,8.65,1,5.68,94.1,0.6,0
Exclude,,,,,,,
Include,,,,,,,
