Number,Name,Fund Rate,Count,Rate,Close Price,Amount
2357,華碩,15.55,3,11.94,254,0.4
2881,富邦金,11.86,3,9.10,57.3,1.3
2347,聯強,11.86,2,9.10,57.8,1.3
3045,台灣大,11.81,2,9.07,98.4,0.7
2301,光寶科,11.26,3,8.64,68.3,1.0
2883,開發金,10.72,3,8.23,13.35,4.9
2882,國泰金,10.53,3,8.08,44.05,1.5
2885,元大金,10.15,3,7.79,20.9,3.0
2382,廣達,9.71,3,7.45,80.8,0.7
2324,仁寶,9.01,2,6.92,23,2.4
3702,大聯大,8.96,3,6.88,52.2,1.1
1301,台塑,8.85,1,6.79,89.4,0.6
