Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
3231,緯創,17.43,3,10.76,68,1.6,2
2357,華碩,14.53,3,8.97,314,0.3,1
3702,大聯大,10.88,3,6.72,53.6,1.3,2
2382,廣達,10.84,3,6.69,120,0.6,1
2881,富邦金,10.76,3,6.64,60.8,1.1,2
2882,國泰金,10.75,2,6.64,44.6,1.5,2
2301,光寶科,10.49,3,6.48,93.8,0.7,1
2324,仁寶,10.06,2,6.21,28.2,2.2,3
3711,日月光投控,9.95,3,6.14,122.5,0.5,0
2347,聯強,9.95,2,6.14,58.6,1.0,1
2885,元大金,9.85,3,6.08,24.5,2.5,2
3045,台灣大,9.60,2,5.93,103.5,0.6,0
6176,瑞儀,9.45,2,5.83,122.5,0.5,0
2356,英業達,9.00,2,5.56,36.4,1.5,1
1301,台塑,8.46,1,5.22,93.8,0.6,0
Exclude,,,,,,,
Include,,,,,,,
