Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
2382,廣達,14.07,3,9.82,202.5,0.5,1
2324,仁寶,11.96,2,8.35,33.05,2.5,3
2347,聯強,11.02,2,7.69,68.4,1.1,2
2385,群光,10.84,2,7.57,182.5,0.4,1
2301,光寶科,10.44,3,7.29,112,0.7,1
2303,聯電,10.32,3,7.21,50.7,1.4,2
1216,統一,9.75,2,6.81,73.7,0.9,1
6176,瑞儀,9.14,2,6.38,134.5,0.5,1
3711,日月光投控,8.96,3,6.26,131,0.5,0
3045,台灣大,8.88,2,6.20,98.4,0.6,0
4904,遠傳,8.67,2,6.05,79.7,0.8,0
2890,永豐金,7.95,2,5.55,20,2.8,2
3044,健鼎,7.69,2,5.37,206,0.3,0
3036,文曄,7.27,2,5.08,112,0.5,0
2404,漢唐,6.27,1,4.38,273,0.2,0
Exclude,,,,,,,
Include,,,,,,,
