Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
2357,華碩,14.05,3,9.56,286.5,0.3,1
2347,聯強,11.40,2,7.76,62.4,1.2,2
2881,富邦金,11.22,3,7.63,59.5,1.3,2
3702,大聯大,11.01,3,7.49,49.8,1.5,2
2882,國泰金,10.75,2,7.31,43.7,1.7,2
2324,仁寶,10.74,2,7.31,25.85,2.8,3
3045,台灣大,10.54,2,7.17,103.5,0.7,1
2382,廣達,10.07,3,6.85,92.3,0.7,0
2885,元大金,9.85,3,6.70,22.9,2.9,2
3231,緯創,9.83,2,6.69,47.5,1.4,1
6176,瑞儀,9.59,2,6.52,113.5,0.6,0
2356,英業達,9.46,2,6.44,32.25,2.0,2
2301,光寶科,9.38,3,6.38,77.2,0.8,0
1301,台塑,9.10,1,6.19,93.4,0.7,0
Exclude,,,,,,,
Include,,,,,,,
