Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
2382,廣達,22.20,3,17.00,254,0.7,1
2301,光寶科,14.03,3,10.75,134.5,0.8,1
2324,仁寶,13.04,2,9.99,32,3.1,4
2347,聯強,10.68,2,8.18,62.5,1.3,2
6176,瑞儀,9.75,2,7.47,127,0.6,1
3711,日月光投控,8.36,3,6.40,118,0.5,1
3044,健鼎,8.15,2,6.24,198,0.3,1
3045,台灣大,8.09,2,6.20,93.4,0.7,0
4904,遠傳,7.55,2,5.78,71.3,0.8,0
2890,永豐金,7.35,2,5.63,17.15,3.3,3
2303,聯電,7.24,2,5.55,46.7,1.2,1
2385,群光,7.16,2,5.48,108.5,0.5,0
1216,統一,6.96,1,5.33,70.3,0.8,0
Exclude,,,,,,,
Include,,,,,,,
