Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
2357,華碩,14.04,3,9.61,289,0.3,1
2347,聯強,11.53,2,7.89,62.4,1.3,2
2881,富邦金,11.14,3,7.63,59.1,1.3,2
3702,大聯大,11.12,3,7.61,50.3,1.5,2
3045,台灣大,10.59,2,7.25,104.5,0.7,1
2882,國泰金,10.58,2,7.24,42.65,1.7,2
2324,仁寶,10.04,2,6.87,24.15,2.8,3
3231,緯創,9.97,2,6.82,49.15,1.4,1
2885,元大金,9.80,3,6.71,22.85,2.9,2
2382,廣達,9.73,3,6.66,89.6,0.7,0
6176,瑞儀,9.68,2,6.63,114,0.6,0
2356,英業達,9.46,2,6.48,32.1,2.0,2
2301,光寶科,9.31,3,6.37,76.2,0.8,0
1301,台塑,9.10,1,6.23,93.8,0.7,0
Exclude,,,,,,,
Include,,,,,,,
