1301,台塑,9.1
3045,台灣大,7.79
3231,緯創,6.71
2324,仁寶,5.75
2356,英業達,5.15
2301,光寶科,4.68
1102,亞泥,4.33
2357,華碩,4.17
2385,群光,3.01
6176,瑞儀,2.51
9939,宏全,2.24
2903,遠百,2.04
3044,健鼎,2.03
3702,大聯大,1.96
2451,創見,1.95
5522,遠雄,1.93
9917,中保科,1.89
6412,群電,1.43
2303,聯電,1.3
2382,廣達,1.29
2449,京元電子,1.29
2454,聯發科,1.28
5434,崇越,1.18
4938,和碩,1.09
6239,力成,1.09
2606,裕民,1.08
6257,矽格,1.04
2006,東和鋼鐵,1.03
2377,微星,1.02
2353,宏碁,1.01
2504,國產,1
6278,台表科,1
8150,南茂,1
4915,致伸,0.95
3711,日月光投控,0.93
3036,文曄,0.91
3042,晶技,0.91
3010,華立,0.9
2885,元大金,0.89
2015,豐興,0.88
1409,新纖,0.87
9904,寶成,0.87
4958,臻鼎-KY,0.83
2881,富邦金,0.81
5306,桂盟,0.81
6269,台郡,0.76
6456,GIS-KY,0.74
2883,開發金,0.68
2597,潤弘,0.43
2888,新光金,0.25
TX,臺股期貨,0.42
