Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
2382,廣達,21.92,3,16.87,252,0.7,1
2301,光寶科,13.91,3,10.71,134,0.8,1
2324,仁寶,12.84,2,9.88,31.4,3.1,4
2347,聯強,10.73,2,8.26,62.8,1.3,2
6176,瑞儀,9.83,2,7.57,127,0.6,1
3044,健鼎,8.30,2,6.39,199.5,0.3,1
3711,日月光投控,8.28,3,6.37,118.5,0.5,1
3045,台灣大,8.10,2,6.23,93.3,0.7,0
4904,遠傳,7.58,2,5.83,71.4,0.8,0
2890,永豐金,7.25,2,5.58,17.25,3.2,3
2385,群光,7.15,2,5.50,108.5,0.5,0
2303,聯電,7.08,2,5.45,45.75,1.2,1
1216,統一,6.96,1,5.36,70.2,0.8,0
Exclude,,,,,,,
Include,,,,,,,
