Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
2357,華碩,13.80,3,9.37,281.5,0.3,1
2347,聯強,11.48,2,7.79,62.8,1.2,2
2881,富邦金,11.14,3,7.56,59,1.3,2
3702,大聯大,10.91,3,7.41,49.65,1.5,2
2324,仁寶,10.72,2,7.28,25.85,2.8,3
2882,國泰金,10.68,2,7.25,42.65,1.7,2
2382,廣達,10.66,3,7.24,101.5,0.7,1
3045,台灣大,10.47,2,7.11,103,0.7,0
3231,緯創,10.15,2,6.89,50.1,1.4,1
2885,元大金,9.79,3,6.65,22.65,2.9,2
6176,瑞儀,9.67,2,6.56,114.5,0.6,0
2356,英業達,9.58,2,6.50,32.75,2.0,2
2301,光寶科,9.28,3,6.30,76.1,0.8,0
1301,台塑,8.99,1,6.10,92.5,0.7,0
Exclude,,,,,,,
Include,,,,,,,
