Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
2357,華碩,14.69,3,10.56,303.5,0.3,1
2347,聯強,11.60,2,8.34,64.5,1.3,2
2881,富邦金,11.17,3,8.03,60.2,1.3,2
3702,大聯大,10.97,3,7.88,50.8,1.6,2
2324,仁寶,10.82,2,7.77,26.35,2.9,3
2382,廣達,10.70,3,7.69,100.5,0.8,1
2882,國泰金,10.65,2,7.65,43.95,1.7,2
3045,台灣大,10.50,2,7.54,104.5,0.7,0
3231,緯創,10.05,2,7.22,49.45,1.5,1
2885,元大金,9.74,3,7.00,23.1,3.0,3
2301,光寶科,9.63,3,6.92,80.5,0.9,0
6176,瑞儀,9.52,2,6.84,114.5,0.6,0
1301,台塑,9.13,1,6.56,94.3,0.7,0
Exclude,,,,,,,
Include,,,,,,,
