Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
2382,廣達,20.35,3,15.84,233,0.7,1
2301,光寶科,12.98,3,10.10,126,0.8,1
2324,仁寶,12.78,2,9.95,31.8,3.1,4
2347,聯強,10.92,2,8.50,64.4,1.3,2
6176,瑞儀,9.85,2,7.67,129,0.6,1
3044,健鼎,8.45,2,6.58,211.5,0.3,1
3045,台灣大,8.14,2,6.34,95.6,0.7,1
3711,日月光投控,8.04,3,6.26,116,0.5,0
2385,群光,7.68,2,5.98,119,0.5,0
4904,遠傳,7.67,2,5.97,73.7,0.8,0
2890,永豐金,7.48,2,5.82,17.65,3.3,3
2303,聯電,7.28,2,5.67,47.6,1.2,1
1216,統一,6.87,1,5.35,71.1,0.8,0
Exclude,,,,,,,
Include,,,,,,,
