Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
2357,華碩,14.76,3,10.64,303.5,0.4,1
2347,聯強,11.57,2,8.34,64.1,1.3,2
2881,富邦金,11.16,3,8.04,59.8,1.3,2
3702,大聯大,10.90,3,7.86,50.3,1.6,2
2382,廣達,10.79,3,7.78,101,0.8,1
2324,仁寶,10.72,2,7.73,26,3.0,3
2882,國泰金,10.61,2,7.65,43.6,1.8,2
3045,台灣大,10.47,2,7.55,103.5,0.7,0
3231,緯創,9.94,2,7.16,48.45,1.5,1
2885,元大金,9.72,3,7.01,22.95,3.1,3
6176,瑞儀,9.56,2,6.89,114,0.6,0
2301,光寶科,9.44,3,6.80,78.6,0.9,0
1301,台塑,9.10,1,6.56,93.1,0.7,0
Exclude,,,,,,,
Include,,,,,,,
