Number,Name,Fund Rate,Count,Rate,Close Price,Amount
2357,華碩,15.54,3,12.11,256.5,0.4
2347,聯強,12.12,2,9.45,57.4,1.3
3045,台灣大,11.41,2,8.89,97,0.7
2301,光寶科,11.12,3,8.67,68.1,1.0
2883,開發金,10.67,3,8.32,13.1,5.1
2882,國泰金,10.43,3,8.13,42.8,1.5
2885,元大金,9.91,3,7.72,20.1,3.1
2382,廣達,9.64,3,7.51,79.5,0.8
2324,仁寶,8.78,2,6.84,22.5,2.4
3702,大聯大,8.61,3,6.71,50.1,1.1
1301,台塑,8.30,1,6.47,86.5,0.6
