3045,台灣大,9.38
1301,台塑,8.91
2357,華碩,8.21
2301,光寶科,4.29
2324,仁寶,4.13
2206,三陽工業,3.07
2356,英業達,2.93
9939,宏全,2.55
1215,卜蜂,2.49
1232,大統益,2.33
2303,聯電,2.28
2385,群光,2.26
5434,崇越,2.19
2454,聯發科,2.12
9917,中保科,2.11
3044,健鼎,1.89
6176,瑞儀,1.77
2382,廣達,1.55
2451,創見,1.55
3702,大聯大,1.55
9940,信義,1.53
2204,中華,1.48
5522,遠雄,1.47
6412,群電,1.46
2885,元大金,1.44
2891,中信金,1.39
1513,中興電,1.34
6239,力成,1.34
2015,豐興,1.1
2504,國產,1.03
2377,微星,0.98
5306,桂盟,0.98
2881,富邦金,0.97
6269,台郡,0.95
3010,華立,0.94
3036,文曄,0.92
2006,東和鋼鐵,0.91
2882,國泰金,0.9
2883,開發金,0.89
2353,宏碁,0.86
6278,台表科,0.86
1303,南亞,0.85
6257,矽格,0.84
2408,南亞科,0.8
2441,超豐,0.8
2449,京元電子,0.8
6202,盛群,0.73
2379,瑞昱,0.72
8150,南茂,0.69
2458,義隆,0.64
