Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
3231,緯創,18.42,3,11.25,73,1.5,2
2357,華碩,14.34,3,8.75,315,0.3,1
2382,廣達,11.70,3,7.14,131.5,0.5,1
2301,光寶科,10.74,3,6.56,97.6,0.7,1
3702,大聯大,10.72,3,6.54,53.6,1.2,2
2881,富邦金,10.67,3,6.51,61.2,1.1,2
2882,國泰金,10.60,2,6.47,44.6,1.5,2
3711,日月光投控,10.34,3,6.31,126,0.5,1
2324,仁寶,10.11,2,6.17,28.85,2.1,2
2347,聯強,9.88,2,6.03,59,1.0,1
2885,元大金,9.74,3,5.95,24.6,2.4,2
6176,瑞儀,9.43,2,5.76,124,0.5,0
2356,英業達,9.40,2,5.74,38.65,1.5,1
3045,台灣大,9.38,2,5.73,103,0.6,0
1301,台塑,8.33,1,5.09,94.1,0.5,0
Exclude,,,,,,,
Include,,,,,,,
