Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
2357,華碩,14.55,3,10.50,303.5,0.3,1
2347,聯強,11.53,2,8.32,63.6,1.3,2
2881,富邦金,11.12,3,8.03,59.4,1.4,2
3702,大聯大,10.87,3,7.85,49.8,1.6,2
2382,廣達,10.85,3,7.83,97.6,0.8,1
2324,仁寶,10.75,2,7.76,25.9,3.0,3
3045,台灣大,10.54,2,7.61,103.5,0.7,1
2882,國泰金,10.53,2,7.60,43.35,1.8,1
3231,緯創,10.09,2,7.28,48.5,1.5,1
2885,元大金,9.68,3,6.99,22.8,3.1,3
6176,瑞儀,9.65,2,6.97,113.5,0.6,0
2301,光寶科,9.26,3,6.68,76.4,0.9,0
1301,台塑,9.12,1,6.58,92.9,0.7,0
Exclude,,,,,,,
Include,,,,,,,
