Number,Name,Fund Rate,Count,Rate,Close Price,Amount
2356,英業達,7.00,2,5.10,23.35,1.7
2357,華碩,15.55,3,11.33,254,0.4
2881,富邦金,11.86,3,8.64,57.3,1.2
2347,聯強,11.86,2,8.64,57.8,1.2
3045,台灣大,11.81,2,8.60,98.4,0.7
2301,光寶科,11.26,3,8.20,68.3,1.0
2883,開發金,10.72,3,7.81,13.35,4.7
2882,國泰金,10.53,3,7.67,44.05,1.4
2885,元大金,10.15,3,7.39,20.9,2.8
2382,廣達,9.71,3,7.07,80.8,0.7
2324,仁寶,9.01,2,6.56,23,2.3
3702,大聯大,8.96,3,6.53,52.2,1.0
1301,台塑,8.85,1,6.45,89.4,0.6
