Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
3231,緯創,18.08,3,11.15,71,1.6,2
2357,華碩,14.60,3,9.01,313.5,0.3,1
3702,大聯大,10.95,3,6.76,53.5,1.3,2
2347,聯強,10.83,2,6.68,63.7,1.0,1
2881,富邦金,10.71,3,6.61,61.7,1.1,2
2301,光寶科,10.66,3,6.58,96,0.7,1
2882,國泰金,10.62,2,6.55,45.25,1.4,2
2382,廣達,10.48,3,6.47,117,0.6,1
2324,仁寶,10.11,2,6.24,28.25,2.2,2
2885,元大金,9.65,3,5.95,24,2.5,2
3045,台灣大,9.63,2,5.94,103.5,0.6,0
6176,瑞儀,9.48,2,5.85,121,0.5,0
2356,英業達,8.99,2,5.55,36.25,1.5,1
3711,日月光投控,8.79,3,5.42,116.5,0.5,0
1301,台塑,8.51,1,5.25,94,0.6,0
Exclude,,,,,,,
Include,,,,,,,
