Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
3231,緯創,15.20,3,10.02,66.3,1.5,2
2357,華碩,14.33,3,9.44,304,0.3,1
2347,聯強,11.05,2,7.28,63.6,1.1,2
3702,大聯大,10.90,3,7.18,52.8,1.4,2
2881,富邦金,10.88,3,7.17,60.8,1.2,2
2382,廣達,10.87,3,7.16,115,0.6,1
2882,國泰金,10.63,2,7.00,44.5,1.6,2
2324,仁寶,10.31,2,6.79,27.55,2.5,2
2301,光寶科,10.02,3,6.60,86.7,0.8,0
3045,台灣大,9.87,2,6.50,103.5,0.6,0
2356,英業達,9.83,2,6.48,37.7,1.7,1
2885,元大金,9.71,3,6.40,23.7,2.7,2
6176,瑞儀,9.55,2,6.29,119.5,0.5,0
1301,台塑,8.62,1,5.68,93.5,0.6,0
Exclude,,,,,,,
Include,,,,,,,
