Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
2357,華碩,14.12,3,9.63,292,0.3,1
2347,聯強,11.35,2,7.74,62.5,1.2,2
2881,富邦金,11.10,3,7.57,59.5,1.3,2
3702,大聯大,11.01,3,7.51,50,1.5,2
2882,國泰金,10.64,2,7.26,43.5,1.7,2
2324,仁寶,10.44,2,7.12,25.35,2.8,3
3045,台灣大,10.43,2,7.11,103.5,0.7,1
3231,緯創,10.30,2,7.02,50,1.4,1
2382,廣達,9.97,3,6.80,91.8,0.7,0
2885,元大金,9.83,3,6.70,23,2.9,2
6176,瑞儀,9.56,2,6.52,114,0.6,0
2356,英業達,9.55,2,6.51,32.7,2.0,2
2301,光寶科,9.27,3,6.32,76.6,0.8,0
1301,台塑,9.07,1,6.19,94,0.7,0
Exclude,,,,,,,
Include,,,,,,,
