Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
3231,緯創,17.84,3,10.93,71.8,1.5,2
2357,華碩,14.50,3,8.88,320,0.3,1
2382,廣達,11.64,3,7.13,138,0.5,1
2301,光寶科,11.10,3,6.80,103,0.7,1
3702,大聯大,10.73,3,6.57,54.4,1.2,2
3711,日月光投控,10.67,3,6.54,128,0.5,1
2881,富邦金,10.39,3,6.36,61.1,1.0,1
2882,國泰金,10.37,2,6.35,44.1,1.4,2
2324,仁寶,9.96,2,6.10,29,2.1,2
2347,聯強,9.95,2,6.10,60.2,1.0,1
2356,英業達,9.66,2,5.92,40.6,1.5,1
2885,元大金,9.64,3,5.91,24.35,2.4,2
6176,瑞儀,9.48,2,5.81,124.5,0.5,0
3045,台灣大,9.19,2,5.63,103,0.5,0
1301,台塑,8.12,1,4.97,93.7,0.5,0
Exclude,,,,,,,
Include,,,,,,,
