Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
2357,華碩,13.39,3,9.22,271,0.3,1
3702,大聯大,11.29,3,7.77,50.1,1.6,2
2347,聯強,11.26,2,7.75,61,1.3,2
2881,富邦金,10.85,3,7.47,57.1,1.3,2
2324,仁寶,10.78,2,7.42,25.65,2.9,3
2882,國泰金,10.66,2,7.34,42.55,1.7,2
3045,台灣大,10.57,2,7.28,103,0.7,1
2382,廣達,10.05,3,6.92,89.9,0.8,0
2885,元大金,9.76,3,6.72,22.45,3.0,3
2356,英業達,9.71,2,6.68,32.4,2.1,2
6176,瑞儀,9.50,2,6.54,111,0.6,0
2301,光寶科,9.22,3,6.35,73.4,0.9,0
3231,緯創,9.19,2,6.33,43.4,1.5,1
1301,台塑,9.05,1,6.23,92.1,0.7,0
Exclude,,,,,,,
Include,,,,,,,
