Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
2357,華碩,15.36,3,19.47,237.5,0.8,1
2347,聯強,11.90,2,15.08,54.1,2.8,3
3045,台灣大,11.86,2,15.03,93,1.6,2
2301,光寶科,11.61,3,14.71,67,2.2,3
2885,元大金,10.45,3,13.24,20.2,6.6,6
2324,仁寶,8.92,2,11.30,21.45,5.3,5
1301,台塑,8.81,1,11.16,84.6,1.3,1
Exclude,,,,,,,
2881,富邦金,12.15,3,,,,
2883,開發金,10.45,3,,,,
2882,國泰金,10.00,3,,,,
Include,,,,,,,
