Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
2382,廣達,20.44,3,15.84,228.5,0.7,1
2301,光寶科,13.18,3,10.22,124,0.8,1
2324,仁寶,12.88,2,9.98,31.4,3.2,4
2347,聯強,10.87,2,8.43,62.8,1.3,2
6176,瑞儀,9.97,2,7.73,129.5,0.6,1
3044,健鼎,8.26,2,6.40,203,0.3,1
3045,台灣大,8.22,2,6.37,94.7,0.7,1
3711,日月光投控,8.13,3,6.30,112.5,0.6,0
4904,遠傳,7.73,2,5.99,72.7,0.8,0
2890,永豐金,7.56,2,5.86,17.5,3.3,3
2385,群光,7.47,2,5.79,114,0.5,0
2303,聯電,7.31,2,5.67,47.1,1.2,1
1216,統一,7.00,1,5.43,70.9,0.8,0
Exclude,,,,,,,
Include,,,,,,,
