Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
3231,緯創,17.18,3,11.30,69.4,1.6,2
2357,華碩,14.40,3,9.47,306,0.3,1
3702,大聯大,11.04,3,7.26,53.3,1.4,2
2347,聯強,10.96,2,7.21,63.1,1.1,2
2881,富邦金,10.82,3,7.12,60.4,1.2,2
2382,廣達,10.63,3,6.99,115,0.6,1
2882,國泰金,10.62,2,6.99,44,1.6,2
2324,仁寶,10.01,2,6.58,27.3,2.4,2
2301,光寶科,9.89,3,6.50,86.2,0.8,0
3045,台灣大,9.75,2,6.41,103,0.6,0
2885,元大金,9.68,3,6.37,23.65,2.7,2
6176,瑞儀,9.46,2,6.22,120,0.5,0
2356,英業達,9.05,2,5.95,35.55,1.7,1
1301,台塑,8.55,1,5.62,93.3,0.6,0
Exclude,,,,,,,
Include,,,,,,,
