Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
2357,華碩,14.60,3,10.41,308,0.3,1
2382,廣達,11.53,3,8.22,109,0.8,1
2347,聯強,11.50,2,8.20,65,1.3,2
2881,富邦金,11.18,3,7.97,61.6,1.3,2
3702,大聯大,11.17,3,7.96,52.5,1.5,2
2882,國泰金,10.73,2,7.65,45.15,1.7,2
2324,仁寶,10.68,2,7.62,26.4,2.9,3
3231,緯創,10.54,2,7.52,53.2,1.4,1
3045,台灣大,10.29,2,7.34,104,0.7,0
2301,光寶科,9.91,3,7.07,81.9,0.9,0
2885,元大金,9.69,3,6.91,23.45,2.9,2
6176,瑞儀,9.46,2,6.75,115.5,0.6,0
1301,台塑,8.96,1,6.39,94,0.7,0
Exclude,,,,,,,
Include,,,,,,,
