Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
2357,華碩,15.44,3,22.85,231,1.0,1
2347,聯強,12.13,2,17.95,54.4,3.3,4
2301,光寶科,11.42,3,16.90,65.5,2.6,3
2885,元大金,10.10,3,14.95,19.5,7.7,7
2382,廣達,9.61,3,14.22,74.8,1.9,1
1301,台塑,8.88,1,13.14,85.1,1.5,1
Exclude,,,,,,,
2881,富邦金,11.84,3,,,,
3045,台灣大,11.84,2,,,,
2883,開發金,10.58,3,,,,
2882,國泰金,10.41,3,,,,
Include,,,,,,,
3702,大聯大,8.56,3,,,,
2324,仁寶,8.91,2,,,,
