Number,Name,Fund Rate,Count,Rate,Close Price,Amount
2357,華碩,15.62,3,12.03,252.5,0.4
2347,聯強,11.99,2,9.23,56.7,1.3
2881,富邦金,11.85,3,9.13,56.7,1.3
3045,台灣大,11.77,2,9.07,97.2,0.7
2301,光寶科,11.10,3,8.55,67,1.0
2883,開發金,10.71,3,8.25,13.1,5.0
2882,國泰金,10.48,3,8.07,42.85,1.5
2885,元大金,10.02,3,7.72,20.2,3.1
2382,廣達,9.65,3,7.43,79.2,0.8
2324,仁寶,8.94,2,6.89,22.55,2.4
3702,大聯大,8.91,3,6.86,51.5,1.1
1301,台塑,8.80,1,6.78,88.1,0.6
