Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
2357,華碩,14.71,3,10.53,308,0.3,1
2347,聯強,11.52,2,8.25,64.5,1.3,2
2881,富邦金,11.20,3,8.02,61.1,1.3,2
3702,大聯大,11.00,3,7.87,51.3,1.5,2
2382,廣達,10.94,3,7.83,102.5,0.8,1
2324,仁寶,10.78,2,7.72,26.45,2.9,3
2882,國泰金,10.66,2,7.63,44.4,1.7,2
3045,台灣大,10.38,2,7.43,104,0.7,0
3231,緯創,10.12,2,7.24,50.6,1.4,1
2301,光寶科,10.01,3,7.16,82,0.9,0
2885,元大金,9.76,3,6.99,23.4,3.0,3
6176,瑞儀,9.56,2,6.84,115.5,0.6,0
1301,台塑,9.07,1,6.49,94.3,0.7,0
Exclude,,,,,,,
Include,,,,,,,
