Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
2382,廣達,21.79,3,16.70,246,0.7,1
2301,光寶科,14.22,3,10.90,134,0.8,1
2324,仁寶,13.08,2,10.02,31.85,3.1,4
2347,聯強,10.74,2,8.23,61.4,1.3,2
6176,瑞儀,9.53,2,7.30,122,0.6,1
3711,日月光投控,8.49,3,6.51,118,0.6,1
3045,台灣大,8.20,2,6.28,94,0.7,1
3044,健鼎,7.89,2,6.05,186,0.3,0
4904,遠傳,7.57,2,5.80,71,0.8,0
2890,永豐金,7.47,2,5.73,17.4,3.3,3
2303,聯電,7.23,2,5.54,46,1.2,1
2385,群光,7.20,2,5.52,106,0.5,0
1216,統一,7.07,1,5.42,70.8,0.8,0
Exclude,,,,,,,
Include,,,,,,,
