Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
3231,緯創,17.73,3,10.98,71.1,1.5,2
2357,華碩,14.64,3,9.07,315,0.3,1
3702,大聯大,10.93,3,6.77,53.4,1.3,2
2347,聯強,10.92,2,6.76,63.8,1.1,2
2881,富邦金,10.73,3,6.65,60.6,1.1,2
2382,廣達,10.65,3,6.60,118,0.6,1
2882,國泰金,10.62,2,6.58,44.45,1.5,2
2324,仁寶,10.23,2,6.34,28.4,2.2,3
2301,光寶科,10.15,3,6.29,89.8,0.7,0
3045,台灣大,9.73,2,6.03,104,0.6,0
2885,元大金,9.64,3,5.97,23.85,2.5,2
6176,瑞儀,9.43,2,5.84,121,0.5,0
2356,英業達,9.05,2,5.60,36.25,1.5,1
3711,日月光投控,8.51,3,5.27,116.5,0.5,0
1301,台塑,8.51,1,5.27,93.7,0.6,0
Exclude,,,,,,,
Include,,,,,,,
