Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
2324,仁寶,12.42,2,8.35,28.9,2.9,3
2382,廣達,12.41,3,8.35,145,0.6,1
3711,日月光投控,10.78,3,7.25,126.5,0.6,1
2882,國泰金,10.46,2,7.03,44.35,1.6,2
3231,緯創,10.19,2,6.85,77.7,0.9,1
3702,大聯大,10.08,3,6.78,54.5,1.2,2
2357,華碩,9.98,2,6.71,310,0.2,1
2347,聯強,9.82,2,6.60,59.2,1.1,2
2881,富邦金,9.72,2,6.54,61.1,1.1,1
6176,瑞儀,9.52,2,6.40,124.5,0.5,0
3045,台灣大,9.31,2,6.26,102.5,0.6,0
2885,元大金,8.74,2,5.88,24.25,2.4,2
4904,遠傳,8.72,2,5.86,78.5,0.7,0
2301,光寶科,8.60,3,5.78,105,0.6,0
1216,統一,7.94,1,5.34,78.2,0.7,0
Exclude,,,,,,,
