Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
3231,緯創,17.84,3,10.90,70.7,1.5,2
2357,華碩,14.79,3,9.04,324.5,0.3,1
2382,廣達,11.46,3,7.00,129,0.5,1
2301,光寶科,11.31,3,6.91,103,0.7,1
3702,大聯大,10.79,3,6.60,53.9,1.2,2
2881,富邦金,10.67,3,6.52,61.2,1.1,2
3711,日月光投控,10.54,3,6.44,125.5,0.5,1
2882,國泰金,10.48,2,6.41,44.05,1.5,2
2347,聯強,10.03,2,6.13,60,1.0,1
2324,仁寶,9.97,2,6.09,28.5,2.1,2
2885,元大金,9.72,3,5.94,24.55,2.4,2
6176,瑞儀,9.42,2,5.76,124,0.5,0
3045,台灣大,9.32,2,5.70,102.5,0.6,0
2356,英業達,8.96,2,5.48,36.95,1.5,1
1301,台塑,8.30,1,5.07,93.9,0.5,0
Exclude,,,,,,,
Include,,,,,,,
